Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Catalan et al. (2015);Catalan et al. (2015)_77;DOC degradation;4;1.18;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_78;DOC degradation;4;1.24;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_79;DOC degradation;4;1.17;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_80;DOC degradation;4;0.99;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_85;DOC degradation;4;1.09;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_86;DOC degradation;4;1.06;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_87;DOC degradation;4;1.08;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_88;DOC degradation;4;1.05;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_89;DOC degradation;4;1.04;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_90;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_91;DOC degradation;4;1.01;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_92;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1441.02
Catalan et al. (2015);Catalan et al. (2015)_97;DOC degradation;4;1.15;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_98;DOC degradation;4;1.14;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_99;DOC degradation;4;1.08;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_100;DOC degradation;4;0.91;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_101;DOC degradation;4;1.2;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_102;DOC degradation;4;1.2;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_103;DOC degradation;4;1.18;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_104;DOC degradation;4;1.13;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1175.91
Catalan et al. (2015);Catalan et al. (2015)_109;DOC degradation;4;1.23;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_110;DOC degradation;4;1.2;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_111;DOC degradation;4;1.07;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_112;DOC degradation;4;0.77;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_113;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_114;DOC degradation;4;0.99;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_115;DOC degradation;4;0.94;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Catalan et al. (2015);Catalan et al. (2015)_116;DOC degradation;4;0.82;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;NA;NA;NA;1477.69
Coble et al. (2015);Coble_1;CO2;12;1.21;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_2;CO2;12;1.17;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_3;CO2;12;1.09;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_4;CO2;12;1.05;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_5;CO2;12;1.06;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_6;CO2;12;1.09;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1005.81
Coble et al. (2015);Coble_7;CO2;12;1.22;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_8;CO2;12;1.17;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_9;CO2;12;1.09;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;5;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_10;CO2;12;1.04;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;14;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_11;CO2;12;1.06;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;21;7.89;8.81;1;8.81;1005.81
Coble et al. (2015);Coble_12;CO2;12;1.09;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;28;NA;NA;NA;NA;1005.81
Coble et al. (2015);Coble_13;CO2;12;1.09;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;1;7.72;6.78;1;6.78;1212.84
Coble et al. (2015);Coble_14;CO2;12;1.08;no;not;no;Lab;River/Stream;none;Glucose;Nitrogen;21;3;7.72;6.78;1;6.78;1212.84
