Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Stutter & Cains (2015);Stutter & Cains (2015)_42;Bacterial respiration;4;4.51;no;not;no;Lab;River/Stream;added;Other;none;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_43;Bacterial respiration;4;3.52;no;not;no;Lab;River/Stream;added;Other;none;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_44;Bacterial respiration;4;2.03;no;not;no;Lab;River/Stream;added;Other;none;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_45;Bacterial respiration;4;1.43;no;not;no;Lab;River/Stream;added;Other;none;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_46;Bacterial respiration;4;4.41;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_47;Bacterial respiration;4;4.37;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_48;Bacterial respiration;4;3.52;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_49;Bacterial respiration;4;2.03;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_50;Bacterial respiration;4;1.43;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_51;Bacterial respiration;4;3.03;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_52;Bacterial respiration;4;2.61;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_53;Bacterial respiration;4;2.03;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_54;Bacterial respiration;4;1.47;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_55;Bacterial respiration;4;1.05;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_56;Bacterial respiration;4;3.13;no;not;no;Lab;River/Stream;added;Other;NP;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_57;Bacterial respiration;4;2.52;no;not;no;Lab;River/Stream;added;Other;NP;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_58;Bacterial respiration;4;2.27;no;not;no;Lab;River/Stream;added;Other;NP;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_59;Bacterial respiration;4;1.57;no;not;no;Lab;River/Stream;added;Other;NP;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_60;Bacterial respiration;4;1.14;no;not;no;Lab;River/Stream;added;Other;NP;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_61;Bacterial respiration;4;5.62;no;not;no;Lab;River/Stream;added;Other;none;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_62;Bacterial respiration;4;4.63;no;not;no;Lab;River/Stream;added;Other;none;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_63;Bacterial respiration;4;3.13;no;not;no;Lab;River/Stream;added;Other;none;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_64;Bacterial respiration;4;2.07;no;not;no;Lab;River/Stream;added;Other;none;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_65;Bacterial respiration;4;1.70;no;not;no;Lab;River/Stream;added;Other;none;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_66;Bacterial respiration;4;5.62;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_67;Bacterial respiration;4;4.44;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_68;Bacterial respiration;4;3.13;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_69;Bacterial respiration;4;2.07;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_70;Bacterial respiration;4;1.70;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_71;Bacterial respiration;4;2.29;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_72;Bacterial respiration;4;2.09;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_73;Bacterial respiration;4;1.48;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_74;Bacterial respiration;4;1.50;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_75;Bacterial respiration;4;1.34;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_76;Bacterial respiration;4;6.02;no;not;no;Lab;River/Stream;added;Other;NP;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_77;Bacterial respiration;4;5.11;no;not;no;Lab;River/Stream;added;Other;NP;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_78;Bacterial respiration;4;3.76;no;not;no;Lab;River/Stream;added;Other;NP;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_79;Bacterial respiration;4;2.71;no;not;no;Lab;River/Stream;added;Other;NP;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_80;Bacterial respiration;4;2.02;no;not;no;Lab;River/Stream;added;Other;NP;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_81;Bacterial respiration;4;5.94;no;not;no;Lab;River/Stream;added;Other;none;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_82;Bacterial respiration;4;5.79;no;not;no;Lab;River/Stream;added;Other;none;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_83;Bacterial respiration;4;4.55;no;not;no;Lab;River/Stream;added;Other;none;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_84;Bacterial respiration;4;2.59;no;not;no;Lab;River/Stream;added;Other;none;15;7.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_85;Bacterial respiration;4;1.81;no;not;no;Lab;River/Stream;added;Other;none;15;15.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_86;Bacterial respiration;4;6.19;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_87;Bacterial respiration;4;5.79;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_88;Bacterial respiration;4;4.87;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_89;Bacterial respiration;4;2.59;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_90;Bacterial respiration;4;1.81;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_91;Bacterial respiration;4;4.43;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_92;Bacterial respiration;4;3.97;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_93;Bacterial respiration;4;3.20;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_94;Bacterial respiration;4;2.76;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_95;Bacterial respiration;4;2.07;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_96;Bacterial respiration;4;4.2;no;not;no;Lab;River/Stream;added;Other;NP;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_97;Bacterial respiration;4;3.37;no;not;no;Lab;River/Stream;added;Other;NP;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_98;Bacterial respiration;4;2.99;no;not;no;Lab;River/Stream;added;Other;NP;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_99;Bacterial respiration;4;2.37;no;not;no;Lab;River/Stream;added;Other;NP;15;7.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_100;Bacterial respiration;4;1.7;no;not;no;Lab;River/Stream;added;Other;NP;15;15.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_101;Bacterial respiration;4;1.36;no;not;no;Lab;River/Stream;added;Other;none;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_102;Bacterial respiration;4;1.26;no;not;no;Lab;River/Stream;added;Other;none;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_103;Bacterial respiration;4;1.21;no;not;no;Lab;River/Stream;added;Other;none;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_104;Bacterial respiration;4;1.01;no;not;no;Lab;River/Stream;added;Other;none;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_105;Bacterial respiration;4;1.03;no;not;no;Lab;River/Stream;added;Other;none;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_106;Bacterial respiration;4;1.28;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_107;Bacterial respiration;4;1.16;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_108;Bacterial respiration;4;1.15;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_109;Bacterial respiration;4;1.13;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_110;Bacterial respiration;4;0.93;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_111;Bacterial respiration;4;1.37;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_112;Bacterial respiration;4;1.24;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_113;Bacterial respiration;4;1.22;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_114;Bacterial respiration;4;1.05;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_115;Bacterial respiration;4;1.06;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_116;Bacterial respiration;4;1.19;no;not;no;Lab;River/Stream;added;Other;NP;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_117;Bacterial respiration;4;1.14;no;not;no;Lab;River/Stream;added;Other;NP;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_118;Bacterial respiration;4;1.12;no;not;no;Lab;River/Stream;added;Other;NP;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_119;Bacterial respiration;4;1.02;no;not;no;Lab;River/Stream;added;Other;NP;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_120;Bacterial respiration;4;1.00;no;not;no;Lab;River/Stream;added;Other;NP;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_121;Bacterial respiration;4;1.53;yes;positive;no;Lab;River/Stream;added;Other;none;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_122;Bacterial respiration;4;1.35;yes;positive;no;Lab;River/Stream;added;Other;none;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_123;Bacterial respiration;4;1.3;yes;positive;no;Lab;River/Stream;added;Other;none;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_124;Bacterial respiration;4;1.05;yes;positive;no;Lab;River/Stream;added;Other;none;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_125;Bacterial respiration;4;1.09;yes;positive;no;Lab;River/Stream;added;Other;none;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_126;Bacterial respiration;4;1.39;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_127;Bacterial respiration;4;1.23;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_128;Bacterial respiration;4;1.2;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_129;Bacterial respiration;4;1.12;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_130;Bacterial respiration;4;1.01;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_131;Bacterial respiration;4;1.59;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_132;Bacterial respiration;4;1.40;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_133;Bacterial respiration;4;1.37;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_134;Bacterial respiration;4;0.94;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_135;Bacterial respiration;4;1.19;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_136;Bacterial respiration;4;1.36;yes;positive;no;Lab;River/Stream;added;Other;NP;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_137;Bacterial respiration;4;1.31;yes;positive;no;Lab;River/Stream;added;Other;NP;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_138;Bacterial respiration;4;1.27;yes;positive;no;Lab;River/Stream;added;Other;NP;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_139;Bacterial respiration;4;1.00;yes;positive;no;Lab;River/Stream;added;Other;NP;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_140;Bacterial respiration;4;1.09;yes;positive;no;Lab;River/Stream;added;Other;NP;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_141;Bacterial respiration;4;1.69;yes;positive;no;Lab;River/Stream;added;Other;none;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_142;Bacterial respiration;4;1.41;yes;positive;no;Lab;River/Stream;added;Other;none;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_143;Bacterial respiration;4;1.29;yes;positive;no;Lab;River/Stream;added;Other;none;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_144;Bacterial respiration;4;0.97;yes;positive;no;Lab;River/Stream;added;Other;none;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_145;Bacterial respiration;4;0.99;yes;positive;no;Lab;River/Stream;added;Other;none;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_146;Bacterial respiration;4;1.37;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_147;Bacterial respiration;4;1.21;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_148;Bacterial respiration;4;1.16;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_149;Bacterial respiration;4;1.09;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_150;Bacterial respiration;4;0.89;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_151;Bacterial respiration;4;1.36;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_152;Bacterial respiration;4;1.25;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_153;Bacterial respiration;4;1.2;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_154;Bacterial respiration;4;0.98;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_155;Bacterial respiration;4;1.04;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_156;Bacterial respiration;4;1.47;yes;positive;no;Lab;River/Stream;added;Other;NP;15;1;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_157;Bacterial respiration;4;1.29;yes;positive;no;Lab;River/Stream;added;Other;NP;15;2;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_158;Bacterial respiration;4;1.28;yes;positive;no;Lab;River/Stream;added;Other;NP;15;3;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_159;Bacterial respiration;4;0.97;yes;positive;no;Lab;River/Stream;added;Other;NP;15;7.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_160;Bacterial respiration;4;1.04;yes;positive;no;Lab;River/Stream;added;Other;NP;15;15.7;9.1;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_161;Bacterial respiration;4;1.97;yes;positive;no;Lab;River/Stream;added;Other;none;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_162;Bacterial respiration;4;1.65;yes;positive;no;Lab;River/Stream;added;Other;none;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_163;Bacterial respiration;4;1.31;yes;positive;no;Lab;River/Stream;added;Other;none;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_164;Bacterial respiration;4;1.05;yes;positive;no;Lab;River/Stream;added;Other;none;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_165;Bacterial respiration;4;1.07;yes;positive;no;Lab;River/Stream;added;Other;none;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_166;Bacterial respiration;4;1.72;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_167;Bacterial respiration;4;1.47;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_168;Bacterial respiration;4;1.31;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_169;Bacterial respiration;4;1.1;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_170;Bacterial respiration;4;0.97;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_171;Bacterial respiration;4;1.70;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_172;Bacterial respiration;4;1.52;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_173;Bacterial respiration;4;1.4;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_174;Bacterial respiration;4;0.92;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_175;Bacterial respiration;4;1.10;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_176;Bacterial respiration;4;1.67;yes;positive;no;Lab;River/Stream;added;Other;NP;15;1;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_177;Bacterial respiration;4;1.41;yes;positive;no;Lab;River/Stream;added;Other;NP;15;2;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_178;Bacterial respiration;4;1.31;yes;positive;no;Lab;River/Stream;added;Other;NP;15;3;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_179;Bacterial respiration;4;0.99;yes;positive;no;Lab;River/Stream;added;Other;NP;15;7.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_180;Bacterial respiration;4;0.97;yes;positive;no;Lab;River/Stream;added;Other;NP;15;15.7;8.6;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_181;Bacterial respiration;4;1.69;yes;positive;no;Lab;River/Stream;added;Other;none;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_182;Bacterial respiration;4;1.47;yes;positive;no;Lab;River/Stream;added;Other;none;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_183;Bacterial respiration;4;1.34;yes;positive;no;Lab;River/Stream;added;Other;none;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_184;Bacterial respiration;4;1.15;yes;positive;no;Lab;River/Stream;added;Other;none;15;7.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_185;Bacterial respiration;4;1.17;yes;positive;no;Lab;River/Stream;added;Other;none;15;15.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_186;Bacterial respiration;4;1.55;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_187;Bacterial respiration;4;1.39;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_188;Bacterial respiration;4;1.27;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_189;Bacterial respiration;4;1.28;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_190;Bacterial respiration;4;0.93;yes;positive;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_191;Bacterial respiration;4;1.71;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;1;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_192;Bacterial respiration;4;1.47;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;2;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_193;Bacterial respiration;4;1.33;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;3;8.8;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_194;Bacterial respiration;4;1.13;yes;positive;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;8.8;NA;346.0;NA;NA
